id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Wissenschaft,USA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Wissenschaft,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,SPE,Politik,Niederlande
am,Andrij Melnyk,,Diplomatie,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Literatur,Deutschland/Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
FDP,FDP,FDP,Partei,Deutschland
SPD,SPD,SPD,Partei,Deutschland
Grüne,Grüne,Grüne,Partei,Deutschland
CDU,CDU,CDU,Partei,Deutschland
SPE,SPE,SPE,Partei,Deutschland
Die Linke,Die Linke,Die Linke,Partei,Deutschland
